,NAME_0,ISO,Year,stability
88,Equatorial Guinea,GNQ,2021,-0.202780559659004
121,Kenya,KEN,2021,-1.03241419792175
131,Liberia,LBR,2021,-0.286361515522003
132,Libya,LBY,2021,-2.30834579467773
141,Lesotho,LSO,2021,-0.213269129395485
148,Morocco,MAR,2021,-0.402591288089752
158,Mali,MLI,2021,-2.33280539512634
165,Mozambique,MOZ,2021,-1.25935423374176
166,Mauritania,MRT,2021,-0.555529892444611
168,Malawi,MWI,2021,-0.109315782785416
171,Namibia,NAM,2021,0.518684864044189
173,Niger,NER,2021,-1.53848505020142
174,Nigeria,NGA,2021,-1.78729927539825
203,Rwanda,RWA,2021,0.0719058215618134
206,Sudan,SDN,2021,-1.98757219314575
207,Senegal,SEN,2021,-0.179818049073219
210,Sierra Leone,SLE,2021,-0.0970258787274361
213,Somalia,SOM,2021,-2.72717571258545
216,South Sudan,SSD,2021,-2.28720140457153
224,Eswatini,SWZ,2021,-0.346043050289154
229,Chad,TCD,2021,-1.38981282711029
232,Togo,TGO,2021,-0.695711433887482
243,Tunisia,TUN,2021,-0.756551444530487
246,Tanzania,TZA,2021,-0.335592776536942
247,Uganda,UGA,2021,-0.937743246555328
263,South Africa,ZAF,2021,-0.750981390476227
264,Zambia,ZMB,2021,0.0523477457463741
265,Zimbabwe,ZWE,2021,-0.954425930976868
4,Angola,AGO,2022,-0.646240890026093
16,Burundi,BDI,2022,-1.18886947631836
18,Benin,BEN,2022,-0.349461376667023
19,Burkina Faso,BFA,2022,-1.7825174331665
33,Botswana,BWA,2022,1.07751607894897
34,Central African Republic,CAF,2022,-2.16247296333313
41,Cote d'Ivoire,CIV,2022,-0.51637864112854
42,Cameroon,CMR,2022,-1.35294902324677
43,"Congo, Dem. Rep.",COD,2022,-1.97774624824524
44,"Congo, Rep.",COG,2022,-0.0169060137122869
60,Algeria,DZA,2022,-0.741771519184113
67,"Egypt, Arab Rep.",EGY,2022,-1.02805662155151
69,Eritrea,ERI,2022,-0.970292985439301
72,Ethiopia,ETH,2022,-2.03806757926941
80,Gabon,GAB,2022,0.0698951333761215
83,Ghana,GHA,2022,-0.0659129694104195
85,Guinea,GIN,2022,-0.864391386508942
86,"Gambia, The",GMB,2022,0.0458285696804523
87,Guinea-Bissau,GNB,2022,-0.394830405712128
88,Equatorial Guinea,GNQ,2022,-0.0742535442113876
121,Kenya,KEN,2022,-0.943087220191956
131,Liberia,LBR,2022,-0.291599869728088
132,Libya,LBY,2022,-2.19796347618103
141,Lesotho,LSO,2022,-0.134738370776176
148,Morocco,MAR,2022,-0.319889187812805
158,Mali,MLI,2022,-2.47940897941589
165,Mozambique,MOZ,2022,-1.28796994686127
166,Mauritania,MRT,2022,-0.507473766803741
168,Malawi,MWI,2022,-0.152863919734955
171,Namibia,NAM,2022,0.556306064128876
173,Niger,NER,2022,-1.47217929363251
174,Nigeria,NGA,2022,-1.79814147949219
203,Rwanda,RWA,2022,0.0305139776319265
206,Sudan,SDN,2022,-1.99889421463013
207,Senegal,SEN,2022,-0.15329946577549
210,Sierra Leone,SLE,2022,-0.0895016714930534
213,Somalia,SOM,2022,-2.48343443870544
216,South Sudan,SSD,2022,-2.21005392074585
224,Eswatini,SWZ,2022,-0.249723330140114
229,Chad,TCD,2022,-1.48370337486267
232,Togo,TGO,2022,-0.711050152778625
243,Tunisia,TUN,2022,-0.596295177936554
246,Tanzania,TZA,2022,-0.265859961509705
247,Uganda,UGA,2022,-0.807034194469452
263,South Africa,ZAF,2022,-0.722118079662323
264,Zambia,ZMB,2022,0.102313563227654
265,Zimbabwe,ZWE,2022,-0.884499907493591
