,NAME_0,Year,EventRoot5,EventRoot6,EventRoot7,EventRoot10,EventRoot12,EventRoot13,EventRoot14,EventRoot19,EventRoot20,CurrentYear,NextYear,AvgTone,GoldsteinScale,ISO
Egypt2020,Egypt,2020,5920,1578,2484,842,2372,1114,826,3364,12,1.0,1.0,-3.3743216894105448,0.11776387609981781,EGY
Egypt2021,Egypt,2021,5449,1554,2408,718,1884,766,571,2969,10,1.0,0.0,-3.189536597085363,0.2590160590200898,EGY
Egypt2022,Egypt,2022,4972,1431,2156,598,1671,650,686,2864,0,0.0,1.0,-3.788500062322753,-0.0466959341167067,EGY
Eritrea2020,Eritrea,2020,366,66,290,42,148,45,30,382,9,1.0,1.0,-2.735036452526252,0.380064506644718,ERI
Eritrea2021,Eritrea,2021,385,114,216,68,177,77,107,553,63,1.0,1.0,-3.4739318169148246,-0.05460885703762425,ERI
Eritrea2022,Eritrea,2022,266,70,145,50,80,33,24,223,4,1.0,1.0,-3.2341346979360805,0.18295855937716454,ERI
Ethiopia2022,Ethiopia,2022,2130,699,1148,275,771,335,268,2041,141,1.0,1.0,-2.2165302501780206,0.47420711217186645,ETH
Ethiopia2021,Ethiopia,2021,2647,1108,1718,535,1481,836,706,3724,328,1.0,1.0,-2.484220736379703,0.39637853743418805,ETH
Ethiopia2020,Ethiopia,2020,2547,870,1587,405,1258,745,346,2524,67,1.0,1.0,-2.699399714608942,0.3688154887206633,ETH
Gabon2020,Gabon,2020,153,42,36,14,49,34,3,65,0,0.0,0.0,-3.1433626632769105,0.2813381959001431,GAB
Gabon2021,Gabon,2021,133,28,80,6,39,25,23,73,0,0.0,0.0,-2.606207314594934,0.28983059631056757,GAB
Gabon2022,Gabon,2022,134,50,68,9,43,19,7,35,0,0.0,0.0,-2.813991707619036,0.44228860184335095,GAB
Ghana2022,Ghana,2022,8482,1826,4162,1404,2107,1281,610,2206,0,0.0,0.0,-2.6232854328475868,0.46661084482208953,GHA
Ghana2020,Ghana,2020,10569,2248,5532,2066,3487,1988,879,3965,2,1.0,0.0,-3.0410853027203433,0.14023301773557795,GHA
Ghana2021,Ghana,2021,10857,2388,5394,2249,3871,2013,963,4270,0,0.0,0.0,-2.8231933770975104,0.34630838790629775,GHA
Guinea2022,Guinea,2022,314,97,153,54,106,75,113,229,2,1.0,0.0,-1.7306281468996125,0.864104056889426,GIN
Guinea2021,Guinea,2021,426,140,206,98,141,92,94,270,0,0.0,1.0,-2.049698733973401,0.6462664402274573,GIN
Guinea2020,Guinea,2020,383,110,181,57,192,95,249,349,3,1.0,0.0,-2.3055096854223183,0.6081862736541713,GIN
Gambia2021,Gambia,2021,874,154,279,137,267,91,68,317,3,1.0,1.0,-0.8495219946072291,1.1770916702189735,GMB
Gambia2020,Gambia,2020,1053,220,523,243,404,155,105,369,7,1.0,1.0,-1.356069082643781,1.2454235228987167,GMB
Gambia2022,Gambia,2022,639,152,234,82,158,55,28,254,4,1.0,1.0,-0.5572175409874152,1.509618435178943,GMB
Guinea-Bissau2020,Guinea-Bissau,2020,5,0,2,0,1,1,0,4,0,0.0,0.0,-2.1123031813889512,0.7463892336909762,GNB
Guinea-Bissau2021,Guinea-Bissau,2021,8,4,7,0,1,0,0,2,0,0.0,0.0,-1.5210869037813288,0.9369413172458235,GNB
Guinea-Bissau2022,Guinea-Bissau,2022,2,1,0,0,2,0,0,0,0,0.0,0.0,-1.5046156682381682,0.923545469237067,GNB
Equatorial Guinea2022,Equatorial Guinea,2022,114,15,45,19,35,16,3,36,0,0.0,0.0,-2.1260622994274456,0.8243865853823872,GNQ
Equatorial Guinea2021,Equatorial Guinea,2021,83,32,72,30,59,14,8,44,0,0.0,0.0,-2.3351350367063337,0.4048589944765621,GNQ
Equatorial Guinea2020,Equatorial Guinea,2020,99,27,42,12,51,29,15,43,0,0.0,0.0,-2.8618121556763856,0.3521740785170916,GNQ
Kenya2020,Kenya,2020,6699,2195,4648,1730,3347,1999,894,5947,4,1.0,1.0,-2.570444907650118,0.3884882614735497,KEN
Kenya2021,Kenya,2021,5544,1728,3472,1234,2402,1405,563,3890,1,1.0,1.0,-2.835286804168559,0.27870426062097753,KEN
Kenya2022,Kenya,2022,5925,1730,3014,1110,2254,1181,525,3237,1,1.0,1.0,-2.4505245413267507,0.5658169254005557,KEN
Liberia2022,Liberia,2022,1939,311,744,315,447,217,134,437,1,1.0,1.0,-1.7125019079613033,0.833022589305433,LBR
Liberia2020,Liberia,2020,2486,372,1091,442,730,364,220,645,4,1.0,1.0,-2.342057077724218,0.4917445472216647,LBR
Liberia2021,Liberia,2021,2050,257,792,306,445,216,138,589,3,1.0,1.0,-1.9402450529422928,0.8164615486833902,LBR
Libya2022,Libya,2022,850,337,534,209,477,157,121,905,5,1.0,1.0,-2.196332180287067,0.4819180028343949,LBY
Libya2020,Libya,2020,2147,723,1017,413,1057,655,279,3041,8,1.0,1.0,-2.6790130761119713,0.40730263811233114,LBY
Libya2021,Libya,2021,1469,450,881,273,642,260,206,1295,3,1.0,1.0,-2.5169639197980946,0.34338055223450764,LBY
Lesotho2022,Lesotho,2022,450,133,155,84,172,81,19,344,0,0.0,0.0,-2.857933628028875,0.04282983309958196,LSO
Lesotho2021,Lesotho,2021,614,250,294,158,312,88,48,410,0,0.0,0.0,-2.5724954731173675,0.1433132188721926,LSO
Lesotho2020,Lesotho,2020,661,297,380,238,387,163,48,1007,0,0.0,0.0,-2.734954082369283,0.3143096646884702,LSO
Morocco2020,Morocco,2020,1407,599,579,192,453,196,132,635,1,1.0,0.0,-3.0108979459832663,0.4456881345894617,MAR
Morocco2021,Morocco,2021,1395,382,412,137,435,131,169,615,0,0.0,1.0,-2.5657897878927716,0.2978023921749816,MAR
Morocco2022,Morocco,2022,1402,365,443,137,291,126,115,496,2,1.0,1.0,-1.7194034073660562,0.8208309384148608,MAR
Mali2022,Mali,2022,549,177,320,97,224,130,126,731,4,1.0,1.0,-2.3413257104275482,0.5871836785066377,MLI
Mali2021,Mali,2021,612,232,377,137,174,115,146,999,10,1.0,1.0,-2.9108472268658137,0.125703427637548,MLI
Mali2020,Mali,2020,824,234,414,150,255,200,348,1081,6,1.0,1.0,-3.1099849600181555,0.24971564012542513,MLI
Mozambique2022,Mozambique,2022,625,226,406,51,118,117,31,550,0,0.0,1.0,-2.463797227100093,0.2784261369854653,MOZ
Mozambique2021,Mozambique,2021,829,423,689,118,192,197,67,1355,1,1.0,0.0,-2.307802642576305,0.3289354142220275,MOZ
Mozambique2020,Mozambique,2020,691,310,415,129,225,197,75,960,5,1.0,1.0,-2.5313743306964485,0.41216740013289094,MOZ
Mauritania2022,Mauritania,2022,137,34,38,5,16,7,5,29,0,0.0,1.0,-2.3261567910178296,0.6510206397803607,MRT
Mauritania2020,Mauritania,2020,121,41,57,10,24,25,6,68,0,0.0,0.0,-3.122402295625565,0.408454138296412,MRT
Mauritania2021,Mauritania,2021,165,52,63,7,33,8,11,82,0,0.0,0.0,-2.8692439933369958,0.18370597901487098,MRT
Malawi2020,Malawi,2020,1898,430,826,477,619,335,347,547,0,0.0,0.0,-1.8926573766038801,0.7005380677529612,MWI
Malawi2021,Malawi,2021,1584,328,1004,362,441,239,202,495,0,0.0,0.0,-1.6927587963464177,0.8888489083871911,MWI
Malawi2022,Malawi,2022,1545,294,756,279,368,243,183,400,0,0.0,0.0,-1.203179440945962,1.0702976845749914,MWI
Namibia2022,Namibia,2022,638,252,384,101,209,115,62,294,1,1.0,0.0,-2.7158692986737463,0.12039097229703612,NAM
Namibia2020,Namibia,2020,888,383,567,171,344,138,76,587,2,1.0,1.0,-2.5807694731497715,0.39374789818694017,NAM
